customer_name,customer_email,signup_date,last_active_date,plan,billing_status,monthly_revenue,active_features_used,support_tickets_opened,email_opens_last30days,number_of_logins_last30days
John Smith,john.smith@example.com,2023-06-01,2024-07-09,Pro,Active,89.99,6,0,12,22
Sarah Johnson,sarah.johnson@example.com,2024-07-08,2024-07-10,Free,Trial,0,1,0,2,3
Michael Brown,michael.brown@example.com,2023-01-15,2024-06-20,Enterprise,Active,299.99,12,1,25,45
Emma Davis,emma.davis@example.com,2024-02-20,2024-07-15,Pro,Payment_Failed,89.99,3,2,5,8
Robert Wilson,robert.wilson@example.com,2022-12-10,2024-05-25,Free,Active,0,2,0,8,15
Lisa Thompson,lisa.thompson@example.com,2023-09-05,2024-07-18,Pro,Active,89.99,8,0,18,32
David Martinez,david.martinez@example.com,2024-01-12,2024-07-01,Enterprise,Active,299.99,15,0,35,55
Jennifer Garcia,jennifer.garcia@example.com,2023-11-22,2024-04-10,Pro,Cancelled,89.99,1,3,1,2
James Rodriguez,james.rodriguez@example.com,2023-08-30,2024-07-20,Free,Active,0,1,0,3,5
Mary Hernandez,mary.hernandez@example.com,2023-05-18,2024-07-22,Pro,Active,89.99,7,1,20,28
